name,num_docs,total_terms,index_size,avg_search_time
full_index,3213835,3726794922,16911348024,0.001501614047634986
stopwords_removed,3213835,2719825877,16806550019,0.0013035266630111201
stemming/,3213835,3726794922,16652941347,0.001411668715938445
stopwords_removed_stemming,3213835,2719825877,16552139947,0.0012954665768531062
